Date,Day of the Week,Amount,Description,Category ,Cash
01/20/23,Friday ,60,Gas,Travel,Credit
01/21/23,Saturday,19,pizza,Food,Cash
01/22/23,Sunday,0,,,
01/23/23,Monday,6,coffee,Food,Cash
01/24/23,Tuesday,0,,,
01/25/23,Wednesday,20,pad tai noode,Food,Credit
01/26/23,Thursday,0,,,
01/27/23,Friday,0,,,
01/28/23,Saturday,30,Db Concert,Entertainment and Recreation,Credit
01/29/23,Sunday,230,clothes,Entertainment and Recreation,Credit
01/30/23,Monday,0,,,
01/31/23,Tuesday,0,,,
02/01/23,Wednesday,10,Bagle ,Food,Cash
